Expirations,,,,,,,
,,,,,,,
,,,,,,,
Resource ID,Percent,Days,Expiration Description,Expiration Date,Expiration Code,Expiration Name,Priority Status
UL53923,-11%,-10,PM : 000-TPM : Descr : Trailer PM Service,7/29/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53924,-11%,-10,PM : 000-TPM : Descr : Trailer PM Service,7/29/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53925,-11%,-10,PM : 000-TPM : Descr : Trailer PM Service,7/29/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53926,-11%,-10,PM : 000-TPM : Descr : Trailer PM Service,7/29/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53927,-11%,-10,PM : 000-TPM : Descr : Trailer PM Service,7/29/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53929,-11%,-10,PM : 000-TPM : Descr : Trailer PM Service,7/29/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53933,-11%,-10,PM : 000-TPM : Descr : Trailer PM Service,7/29/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53934,-11%,-10,PM : 000-TPM : Descr : Trailer PM Service,7/29/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53936,-11%,-10,PM : 000-TPM : Descr : Trailer PM Service,7/29/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53938,-11%,-10,PM : 000-TPM : Descr : Trailer PM Service,7/29/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53940,-11%,-10,PM : 000-TPM : Descr : Trailer PM Service,7/29/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
ULRF059,-12%,-11,PM : 000-TPM : Descr : Trailer PM Service,7/30/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
ULRF048,-12%,-11,PM : 000-TPM : Descr : Trailer PM Service,7/30/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53378,-12%,-11,PM : 000-DOT : Descr : Annual DOT Inspection,7/30/2021 12:00:00 AM,PRE,Preventive Maint,Required
536457,-13%,-12,PM : 000-DOT : Descr : Annual DOT Inspection,7/31/2021 12:00:00 AM,PRE,Preventive Maint,Required
536722,-13%,-12,PM : 000-DOT : Descr : Annual DOT Inspection,7/31/2021 12:00:00 AM,PRE,Preventive Maint,Required
536392,-13%,-12,PM : 000-DOT : Descr : Annual DOT Inspection,7/31/2021 12:00:00 AM,PRE,Preventive Maint,Required
